# =============================================================================
# HISTORICAL PROVINCIAL POPULATIONS — Statistics Canada
# =============================================================================
# Source: Statistics Canada Census of Canada (1971–2021) and StatCan quarterly
# population estimates (2025, Q1).
#
# Units: thousands of persons.
# Nunavut was carved out of the Northwest Territories in 1999; prior to that
# its population is included under NT. The 1971–1991 NU column is set to 0
# and NT carries the full combined figure.
#
# 2025 values are StatCan quarterly estimates (Q1 2025, April 1 2025;
# Table 17-10-0009-01). Canada total 41,548,787.
#
# Columns: year, NL, PE, NS, NB, QC, ON, MB, SK, AB, BC, YT, NT, NU
# =============================================================================
year,NL,PE,NS,NB,QC,ON,MB,SK,AB,BC,YT,NT,NU
1971,522.1,111.6,789.0,634.6,6027.8,7703.1,988.2,926.2,1627.9,2184.6,18.4,34.8,0.0
1981,567.7,122.5,847.4,696.4,6438.4,8625.1,1026.2,968.3,2237.7,2744.5,23.2,45.7,0.0
1991,568.5,129.8,899.9,723.9,6896.0,10084.9,1091.9,988.9,2545.6,3282.1,27.8,57.6,0.0
2001,512.9,135.3,908.0,729.5,7237.5,11410.0,1119.6,978.9,2974.8,3907.7,28.7,37.4,26.7
2006,505.5,135.9,913.5,730.0,7546.1,12160.3,1148.4,968.2,3290.4,4113.5,30.4,41.5,29.5
2011,514.5,140.2,921.7,751.2,7903.0,12851.8,1208.3,1033.4,3645.3,4400.1,33.9,41.5,31.9
2016,519.7,142.9,923.6,747.1,8164.4,13448.5,1278.4,1098.4,4067.2,4648.1,35.9,41.8,35.9
2021,510.6,154.3,969.4,775.6,8501.8,14223.9,1342.2,1132.5,4262.6,5000.9,40.2,41.1,36.9
2025,545.5,180.0,1080.4,859.8,9110.6,16177.0,1507.3,1253.6,4980.7,5720.0,47.1,45.2,41.6
